"","Year","Month","Day","Tournament","Round","Surface","Win_Lose","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","pts_won","unret","forced_err","pts_won_lte_3_shots","wide","body","t"
"97","2015","05","24","Roland_Garros","R128","clay","W",57,2,3,37,28,20,9,3,0,71,36,24,14,7,22,14,5,37,1,5,16,15,20,22
"98","2015","05","27","Roland_Garros","R64","clay","L",56,0,2,35,18,21,9,8,3,50,16,5,4,1,18,10,6,27,0,8,12,14,32,10
"99","2015","06","16","Birmingham","R32","grass","W",54,5,1,31,24,23,13,2,1,56,27,13,4,4,12,5,6,37,0,8,20,13,27,14
"100","2015","06","18","Birmingham","R16","grass","W",43,5,2,34,27,9,3,2,1,50,27,14,4,5,19,8,9,30,0,9,17,18,15,10
"101","2015","06","19","Birmingham","QF","grass","L",81,3,4,48,34,33,17,10,7,83,32,24,9,10,29,15,10,51,2,15,29,16,44,21
"102","2015","08","12","Toronto","R32","hard","W",57,0,2,45,36,12,6,3,3,65,25,12,9,3,22,14,6,42,0,9,17,24,19,14
"103","2015","08","13","Toronto","R16","hard","W",90,3,2,60,31,30,15,12,4,117,63,26,15,8,48,19,27,46,0,9,19,26,38,25
"104","2015","08","14","Toronto","QF","hard","W",75,2,4,48,32,27,11,11,7,71,33,25,14,9,33,13,16,43,0,11,26,20,32,23
"105","2015","08","15","Toronto","SF","hard","W",66,2,1,47,32,19,7,8,5,71,34,29,14,12,45,23,21,39,1,5,15,24,22,20
"106","2015","08","16","Toronto","F","hard","L",114,1,2,81,40,33,15,23,14,89,42,29,17,11,64,33,29,55,0,9,19,36,51,27
"107","2015","08","19","Cincinnati","R32","hard","W",97,3,3,64,42,33,13,11,4,120,58,39,20,15,38,23,12,55,1,12,23,29,46,22
"108","2015","08","20","Cincinnati","R16","hard","W",102,3,0,71,40,31,19,17,13,117,56,29,19,7,44,26,18,59,0,9,21,38,34,30
